"","WKT","ID","NAME","NAME_EN","TYPE","point"
"1924","44.5125888978591 40.1998577613244",50297,"???????","""Chaicoff""","supermarket/shop(food)",10
"1925","44.5131742400982 40.1998330606008",50299,"","","healthcare",10
"1926","44.5115253823942 40.2008523696512",50302,"?151  ????? ?????? ?????? ?????","School No 151 AFT Ruben Sevak","School/kindergarten",7
"1927","44.5157547405834 40.204038160533",50312,"","","supermarket/shop(food)",10
"1928","44.5059775668626 40.2055924082357",50319,"","","bus_stop",4
"1929","44.506510088163 40.2057569969603",50322,"Inecobank","","bank/atm",10
"1930","44.5066710662619 40.2058173026081",50324,"Biblosbank","","bank/atm",10
"1931","44.5072432930979 40.2061486739814",50329,"????","Rosy","supermarket/shop(food)",10
"1932","44.5073006954445 40.2066274101357",50331,"???????? ????????","Arabkir tax office","state institutions/NGO",4
"1933","44.5075957021838 40.2067225669478",50332,"","","state institutions/NGO",4
"1934","44.5082753675278 40.2070282753121",50334,"???????? «?????» ?????","Cadastre Yerevan Department","state institutions/NGO",4
"1935","44.5083316918961 40.207072869101",50335,"","Armekonombank","bank/atm",10
"1936","44.5099529713209 40.2054831167109",50344,"","","supermarket/shop(food)",10
"1937","44.5102292931023 40.2053358850374",50345,"","","playground/attraction",4
"1938","44.5101488938844 40.2058339055187",50346,"","","supermarket/shop(food)",10
"1939","44.5085276144596 40.2065264216496",50349,"","","playground/attraction",4
"1940","44.5084270929793 40.2071276851182",50351,"?????????","""Genatsvale""","restaurant/cafe",6
"1941","44.509075766446 40.2065345858059",50352,"??????? ???","Tigran's place","cinema/theatre/museum",6
"1942","44.5102857073021 40.2060878883808",50354,"","","supermarket/shop(food)",10
"1943","44.5103600878077 40.2060952979152",50355,"","","playground/attraction",4
"1944","44.5104205444263 40.2064039591872",50356,"","","supermarket/shop(food)",10
"1945","44.5104460565804 40.2064807984052",50357,"?????????","Kangaroo","mall/shop(non-food)",14
"1946","44.5102305507437 40.2068186155053",50361,"","","mall/shop(non-food)",14
"1947","44.5107204020681 40.2066866173099",50365,"???? ????","""Alfa Pharm""","healthcare",10
"1948","44.5105504408164 40.2067432173992",50366,"AcbaCreditAgricole","","bank/atm",10
