"","TYPE","point","lon","lat"
"1249","pub/bar",4,44.5165868500311,40.1793663799315
"1250","restaurant/cafe",6,44.5164671944352,40.1797391979321
"1251","bank/atm",10,44.5116915707218,40.1798632184882
"1252","healthcare",10,44.511799727882,40.1797965754837
"1253","pub/bar",4,44.5121840271605,40.1799523731363
"1254","restaurant/cafe",6,44.5124413944894,40.1805752170062
"1255","pub/bar",4,44.5123904600128,40.1806161906669
"1256","restaurant/cafe",6,44.5133756423849,40.1798810631538
"1257","restaurant/cafe",6,44.5124771474377,40.1817587075536
"1258","restaurant/cafe",6,44.5115102008659,40.1819295995768
"1259","restaurant/cafe",6,44.5115859288444,40.1823789955017
"1260","restaurant/cafe",6,44.5117284016484,40.1824138599358
"1261","bookmaker",1,44.5129155252964,40.1813725860798
"1262","pub/bar",4,44.5126951685572,40.1815040845036
"1263","restaurant/cafe",6,44.5130211671738,40.1816808108459
"1264","bank/atm",10,44.513347255622,40.1814143828403
"1265","healthcare",10,44.5135537783058,40.1815517148718
"1266","pub/bar",4,44.5132892244546,40.1819305604143
"1267","bank/atm",10,44.5136722660917,40.1818980978266
"1268","supermarket/shop(food)",10,44.5133201265004,40.1823538079957
"1269","mall/shop(non-food)",14,44.5135178456944,40.1822273212783
"1270","restaurant/cafe",6,44.513703078306,40.1823700734979
"1271","restaurant/cafe",6,44.5140115597746,40.1799052220784
"1272","restaurant/cafe",6,44.5142020924463,40.1800520971729
"1273","mall/shop(non-food)",14,44.5143058478616,40.1803996545414
"1274","pub/bar",4,44.5147967771644,40.1800446161594
"1275","mall/shop(non-food)",14,44.5147507834219,40.1803542882482
"1276","restaurant/cafe",6,44.5143552552023,40.1807763789121
"1277","mall/shop(non-food)",14,44.5147029032172,40.1806814602161
"1278","restaurant/cafe",6,44.5147940822186,40.1810719094466
"1279","restaurant/cafe",6,44.515494408814,40.1805737070885
"1280","restaurant/cafe",6,44.5158269651322,40.1805540781564
"1281","mall/shop(non-food)",14,44.5153489715696,40.1808908576834
"1282","restaurant/cafe",6,44.5154112248187,40.1809291544955
"1283","restaurant/cafe",6,44.5157727967206,40.1809054077293
"1284","restaurant/cafe",6,44.5157727967206,40.1809054077293
"1285","restaurant/cafe",6,44.5158798759025,40.1809949041689
"1286","mall/shop(non-food)",14,44.5159009863116,40.1810259945456
"1287","restaurant/cafe",6,44.5159308103791,40.1806006110702
"1288","mall/shop(non-food)",14,44.5142296707255,40.1811478851563
"1289","bank/atm",10,44.5139792204243,40.1816823893704
"1290","restaurant/cafe",6,44.5140864792693,40.1817944645145
"1291","restaurant/cafe",6,44.5148069281271,40.1813360053143
"1292","bank/atm",10,44.5144795820376,40.1818784006464
"1293","restaurant/cafe",6,44.5144933262614,40.1820000838321
"1294","mall/shop(non-food)",14,44.5144850617608,40.1820329581579
"1295","supermarket/shop(food)",10,44.5144855109185,40.1820655579433
"1296","restaurant/cafe",6,44.5144405053227,40.1821123643446
"1297","restaurant/cafe",6,44.5148503167553,40.1818664587991
"1298","mall/shop(non-food)",14,44.5150903465993,40.1822357628842
"1299","mall/shop(non-food)",14,44.5149689842044,40.1823391896297
"1300","healthcare",10,44.5149129293306,40.1824085753672
"1301","restaurant/cafe",6,44.5158496925089,40.1813470550411
"1302","mall/shop(non-food)",14,44.5161522450966,40.1812614710857
"1303","restaurant/cafe",6,44.5165918805967,40.1813725860798
"1304","bank/atm",10,44.5162573479848,40.1816427203528
"1305","bank/atm",10,44.5163832917877,40.1817451871623
"1306","restaurant/cafe",6,44.5154109553242,40.1819989171021
"1307","restaurant/cafe",6,44.5153880482844,40.182153199815
"1308","restaurant/cafe",6,44.5157083875147,40.1824864712393
"1309","restaurant/cafe",6,44.5161540417272,40.1821978785956
"1310","restaurant/cafe",6,44.5159598259628,40.1823503764547
"1311","bank/atm",10,44.507752817527,40.1838058833254
"1312","pub/bar",4,44.5080620176478,40.1836028774041
"1313","post_office",3,44.5057699662004,40.1847947564237
"1314","restaurant/cafe",6,44.5064418162014,40.1845813219204
"1315","restaurant/cafe",6,44.5064552010991,40.1847870700481
"1316","School/kindergarten",7,44.5071370223998,40.1850407886112
"1317","School/kindergarten",7,44.5081861648201,40.1847632560039
"1318","state institutions/NGO",4,44.5082829133762,40.1848607082357
"1319","restaurant/cafe",6,44.5088662793217,40.1831418911137
"1320","sport/fitness",4,44.5086662245079,40.1836264859671
"1321","restaurant/cafe",6,44.5098619719826,40.1829940618856
"1322","healthcare",10,44.5103413130182,40.18285371304
"1323","mall/shop(non-food)",14,44.5104636635599,40.1829740905028
"1324","mall/shop(non-food)",14,44.5105799953892,40.1830576820247
