"","TYPE","point","lon","lat","cell"
"1511","bank/atm",10,44.5018100127649,40.2038201897774,11
"1512","bus_stop",4,44.5015890272051,40.2041003201479,11
"1513","bank/atm",10,44.5018715473619,40.2039198101153,11
"1514","healthcare",10,44.5023134286502,40.2038379595316,11
"1515","restaurant/cafe",6,44.5027023093367,40.203890582676,12
"1516","beauty_salon",4,44.5025287548238,40.2041615191833,12
"1517","restaurant/cafe",6,44.5035083676411,40.2018823667032,12
"1518","restaurant/cafe",6,44.5031033172795,40.2020842201403,12
"1519","bus_stop",4,44.5029780022974,40.2043729024219,5
"1520","healthcare",10,44.4972568119159,40.2052687868061,4
"1521","supermarket/shop(food)",10,44.4992450531342,40.2083334204681,4
"1522","healthcare",10,44.4991635759379,40.2084727561266,4
"1523","healthcare",10,44.4996901683575,40.2085279826377,4
"1524","healthcare",10,44.5011011521742,40.2054869587261,4
"1525","restaurant/cafe",6,44.5012416486847,40.2052666599694,4
"1526","supermarket/shop(food)",10,44.5010337785279,40.2057150779859,4
"1527","mall/shop(non-food)",14,44.5009985645688,40.2057946622688,4
"1528","bank/atm",10,44.5016208275661,40.2047862676099,4
"1529","bank/atm",10,44.5016096884566,40.2048004694894,4
"1530","healthcare",10,44.5016912554844,40.2046979002928,4
"1531","supermarket/shop(food)",10,44.5017918667962,40.2046583819522,4
"1532","supermarket/shop(food)",10,44.5015809423675,40.2048306570495,4
"1533","supermarket/shop(food)",10,44.5021931442336,40.2045604093001,4
"1534","bank/atm",10,44.502290791105,40.2045550578486,4
"1535","bank/atm",10,44.5024752152328,40.2044804805259,5
"1536","restaurant/cafe",6,44.5007526956755,40.2061112146899,4
"1537","beauty_salon",4,44.5008640867708,40.2059582900053,4
"1538","healthcare",10,44.5008370474807,40.2059995227604,4
"1539","beauty_salon",4,44.5011763411635,40.2063411156192,4
"1540","supermarket/shop(food)",10,44.5021776932107,40.2067867136781,4
"1541","beauty_salon",4,44.5023654411051,40.207177287058,4
