"","TYPE","point","lon","lat","cell","districtName"
"366","supermarket/shop(food)",10,44.4774443784931,40.1535559722051,8,"Shengavit"
"367","supermarket/shop(food)",10,44.4779010819835,40.1535561095249,8,"Shengavit"
"368","School/kindergarten",7,44.4771840467237,40.1541183634674,8,"Shengavit"
"369","supermarket/shop(food)",10,44.4801292632142,40.1499008991196,8,"Shengavit"
"370","supermarket/shop(food)",10,44.4803753117706,40.1512431226513,8,"Shengavit"
"371","supermarket/shop(food)",10,44.4821487658045,40.1498560617492,8,"Shengavit"
"372","supermarket/shop(food)",10,44.4813835808455,40.1505598608562,8,"Shengavit"
"373","supermarket/shop(food)",10,44.4828448703181,40.1504123039696,8,"Shengavit"
"374","bank/atm",10,44.4824912934223,40.1508717960206,8,"Shengavit"
"376","healthcare",10,44.4830053094279,40.1504897559258,8,"Shengavit"
"377","bank/atm",10,44.4831838945064,40.1503961681343,8,"Shengavit"
"380","healthcare",10,44.4836395200185,40.1503518803963,8,"Shengavit"
"382","mall/shop(non-food)",14,44.4817118252503,40.1513809963717,8,"Shengavit"
"383","mall/shop(non-food)",14,44.4817118252503,40.1513809963717,8,"Shengavit"
"384","mall/shop(non-food)",14,44.4817118252503,40.1513809963717,8,"Shengavit"
"385","mall/shop(non-food)",14,44.4817118252503,40.1513809963717,8,"Shengavit"
"386","bank/atm",10,44.4821161569597,40.1517175773559,8,"Shengavit"
"387","bank/atm",10,44.4819912911352,40.1518424730577,8,"Shengavit"
"391","bus_stop",4,44.4828071410762,40.1509176626596,8,"Shengavit"
"398","bank/atm",10,44.4824955155041,40.152051616198,8,"Shengavit"
"400","bank/atm",10,44.482728897815,40.152160307208,8,"Shengavit"
"402","supermarket/shop(food)",10,44.4835567851808,40.1518834640654,8,"Shengavit"
"403","supermarket/shop(food)",10,44.4832956449277,40.1520392571334,8,"Shengavit"
"406","School/kindergarten",7,44.4795129290978,40.1534453609472,8,"Shengavit"
"407","supermarket/shop(food)",10,44.480686488185,40.1534181715601,8,"Shengavit"
"408","bank/atm",10,44.4790273896867,40.1541038076785,8,"Shengavit"
"409","healthcare",10,44.4788554521414,40.1542112595371,8,"Shengavit"
"410","mall/shop(non-food)",14,44.4791946559926,40.1540646718156,8,"Shengavit"
"412","bank/atm",10,44.4787395694697,40.1548541133352,8,"Shengavit"
"413","bank/atm",10,44.4788092787358,40.1548048850795,8,"Shengavit"
